Namespace(annealing_epochs=1000, beta1=0.96, beta2=0.999, checkpoint_freq=500, clip_norm=10.0, cuda=False, iaf_dim=100, jit=False, learning_rate=0.0003, load_model='', load_opt='', log='dmm.log', lr_decay=0.99996, mini_batch_size=20, minimum_annealing_factor=0.2, num_epochs=5000, num_iafs=0, rnn_dropout_rate=0.1, save_model='Easiest', save_opt='', tmc=False, tmc_num_samples=10, tmcelbo=False, weight_decay=2.0)
N_train_data: 10     avg. training seq. length: 8.00    N_mini_batches: 1
[training epoch 0267]  0.4208 				(dt = 0.116 sec)
[training epoch 0268]  0.5610 				(dt = 0.112 sec)
[training epoch 0269]  0.5538 				(dt = 0.115 sec)
[training epoch 0270]  0.6494 				(dt = 0.111 sec)
[training epoch 0271]  0.5634 				(dt = 0.108 sec)
[training epoch 0272]  0.4344 				(dt = 0.103 sec)
[training epoch 0273]  0.6082 				(dt = 0.109 sec)
[training epoch 0274]  0.5327 				(dt = 0.103 sec)
[training epoch 0275]  0.5610 				(dt = 0.115 sec)
[training epoch 0276]  0.5534 				(dt = 0.107 sec)
[training epoch 0277]  0.6957 				(dt = 0.114 sec)
[training epoch 0278]  0.5479 				(dt = 0.109 sec)
[training epoch 0279]  0.5111 				(dt = 0.174 sec)
[training epoch 0280]  0.5679 				(dt = 0.182 sec)
[training epoch 0281]  0.6913 				(dt = 0.147 sec)
[training epoch 0282]  0.3944 				(dt = 0.155 sec)
[training epoch 0283]  0.6298 				(dt = 0.166 sec)
[training epoch 0284]  0.6357 				(dt = 0.112 sec)
[training epoch 0285]  0.5803 				(dt = 0.105 sec)
[training epoch 0286]  0.5784 				(dt = 0.102 sec)
[training epoch 0287]  0.4763 				(dt = 0.101 sec)
[training epoch 0288]  0.6764 				(dt = 0.116 sec)
[training epoch 0289]  0.4696 				(dt = 0.099 sec)
[training epoch 0290]  0.5083 				(dt = 0.108 sec)
[training epoch 0291]  0.4960 				(dt = 0.104 sec)
[training epoch 0292]  0.5559 				(dt = 0.111 sec)
[training epoch 0293]  0.6209 				(dt = 0.107 sec)
[training epoch 0294]  0.4510 				(dt = 0.104 sec)
[training epoch 0295]  0.5371 				(dt = 0.102 sec)
[training epoch 0296]  0.5729 				(dt = 0.112 sec)
[training epoch 0297]  0.6772 				(dt = 0.105 sec)
[training epoch 0298]  0.5377 				(dt = 0.106 sec)
[training epoch 0299]  0.5836 				(dt = 0.118 sec)
[training epoch 0300]  0.5423 				(dt = 0.106 sec)
[val/test epoch 0300]  1.0288  1.3140
[training epoch 0301]  0.5157 				(dt = 0.175 sec)
[training epoch 0302]  0.6094 				(dt = 0.106 sec)
[training epoch 0303]  0.5106 				(dt = 0.105 sec)
[training epoch 0304]  0.5136 				(dt = 0.116 sec)
[training epoch 0305]  0.5435 				(dt = 0.100 sec)
[training epoch 0306]  0.5737 				(dt = 0.103 sec)
[training epoch 0307]  0.6501 				(dt = 0.110 sec)
[training epoch 0308]  0.5079 				(dt = 0.122 sec)
[training epoch 0309]  0.4892 				(dt = 0.105 sec)
[training epoch 0310]  0.5682 				(dt = 0.107 sec)
[training epoch 0311]  0.5592 				(dt = 0.116 sec)
[training epoch 0312]  0.4449 				(dt = 0.108 sec)
[training epoch 0313]  0.5192 				(dt = 0.112 sec)
[training epoch 0314]  0.4439 				(dt = 0.106 sec)
[training epoch 0315]  0.5251 				(dt = 0.101 sec)
[training epoch 0316]  0.5690 				(dt = 0.119 sec)
[training epoch 0317]  0.5440 				(dt = 0.108 sec)
[training epoch 0318]  0.4570 				(dt = 0.123 sec)
[training epoch 0319]  0.5100 				(dt = 0.114 sec)
[training epoch 0320]  0.4020 				(dt = 0.111 sec)
[training epoch 0321]  0.6211 				(dt = 0.109 sec)
[training epoch 0322]  0.4702 				(dt = 0.107 sec)
[training epoch 0323]  0.4049 				(dt = 0.116 sec)
[training epoch 0324]  0.6486 				(dt = 0.111 sec)
[training epoch 0325]  0.6056 				(dt = 0.103 sec)
[training epoch 0326]  0.5240 				(dt = 0.134 sec)
[training epoch 0327]  0.5217 				(dt = 0.120 sec)
[training epoch 0328]  0.5082 				(dt = 0.108 sec)
[training epoch 0329]  0.4020 				(dt = 0.109 sec)
[training epoch 0330]  0.4494 				(dt = 0.102 sec)
[training epoch 0331]  0.5217 				(dt = 0.104 sec)
[training epoch 0332]  0.4536 				(dt = 0.107 sec)
[training epoch 0333]  0.4517 				(dt = 0.099 sec)
[training epoch 0334]  0.5405 				(dt = 0.112 sec)
[training epoch 0335]  0.4538 				(dt = 0.107 sec)
[training epoch 0336]  0.5050 				(dt = 0.104 sec)
[training epoch 0337]  0.5136 				(dt = 0.107 sec)
[training epoch 0338]  0.3324 				(dt = 0.108 sec)
[training epoch 0339]  0.4869 				(dt = 0.105 sec)
[training epoch 0340]  0.4290 				(dt = 0.099 sec)
[training epoch 0341]  0.3653 				(dt = 0.106 sec)
[training epoch 0342]  0.5989 				(dt = 0.117 sec)
[training epoch 0343]  0.3553 				(dt = 0.104 sec)
[training epoch 0344]  0.5220 				(dt = 0.099 sec)
[training epoch 0345]  0.4248 				(dt = 0.126 sec)
[training epoch 0346]  0.5826 				(dt = 0.112 sec)
[training epoch 0347]  0.4700 				(dt = 0.112 sec)
[training epoch 0348]  0.5044 				(dt = 0.102 sec)
[training epoch 0349]  0.4621 				(dt = 0.121 sec)
[training epoch 0350]  0.6065 				(dt = 0.102 sec)
[val/test epoch 0350]  0.6542  0.8907
[training epoch 0351]  0.4856 				(dt = 0.176 sec)
[training epoch 0352]  0.4120 				(dt = 0.116 sec)
[training epoch 0353]  0.5521 				(dt = 0.114 sec)
[training epoch 0354]  0.4314 				(dt = 0.136 sec)
[training epoch 0355]  0.5210 				(dt = 0.110 sec)
[training epoch 0356]  0.3953 				(dt = 0.103 sec)
[training epoch 0357]  0.3207 				(dt = 0.120 sec)
[training epoch 0358]  0.5649 				(dt = 0.105 sec)
[training epoch 0359]  0.4509 				(dt = 0.104 sec)
[training epoch 0360]  0.5271 				(dt = 0.106 sec)
[training epoch 0361]  0.4593 				(dt = 0.108 sec)
[training epoch 0362]  0.4549 				(dt = 0.106 sec)
[training epoch 0363]  0.4514 				(dt = 0.111 sec)
[training epoch 0364]  0.4404 				(dt = 0.111 sec)
[training epoch 0365]  0.6126 				(dt = 0.107 sec)
[training epoch 0366]  0.3777 				(dt = 0.105 sec)
[training epoch 0367]  0.3902 				(dt = 0.113 sec)
[training epoch 0368]  0.4974 				(dt = 0.105 sec)
[training epoch 0369]  0.4024 				(dt = 0.112 sec)
[training epoch 0370]  0.5321 				(dt = 0.104 sec)
[training epoch 0371]  0.4026 				(dt = 0.103 sec)
[training epoch 0372]  0.3471 				(dt = 0.106 sec)
[training epoch 0373]  0.4703 				(dt = 0.101 sec)
[training epoch 0374]  0.4948 				(dt = 0.102 sec)
[training epoch 0375]  0.4917 				(dt = 0.117 sec)
[training epoch 0376]  0.3915 				(dt = 0.105 sec)
[training epoch 0377]  0.3594 				(dt = 0.101 sec)
[training epoch 0378]  0.5249 				(dt = 0.114 sec)
[training epoch 0379]  0.5977 				(dt = 0.107 sec)
[training epoch 0380]  0.5372 				(dt = 0.104 sec)
[training epoch 0381]  0.4763 				(dt = 0.108 sec)
[training epoch 0382]  0.5134 				(dt = 0.107 sec)
[training epoch 0383]  0.5353 				(dt = 0.097 sec)
[training epoch 0384]  0.3176 				(dt = 0.104 sec)
[training epoch 0385]  0.4089 				(dt = 0.112 sec)
[training epoch 0386]  0.4171 				(dt = 0.115 sec)
[training epoch 0387]  0.4295 				(dt = 0.111 sec)
[training epoch 0388]  0.4788 				(dt = 0.109 sec)
[training epoch 0389]  0.4391 				(dt = 0.111 sec)
[training epoch 0390]  0.3757 				(dt = 0.112 sec)
[training epoch 0391]  0.3884 				(dt = 0.106 sec)
[training epoch 0392]  0.4014 				(dt = 0.104 sec)
[training epoch 0393]  0.5563 				(dt = 0.112 sec)
[training epoch 0394]  0.4065 				(dt = 0.101 sec)
[training epoch 0395]  0.6028 				(dt = 0.107 sec)
[training epoch 0396]  0.5410 				(dt = 0.103 sec)
[training epoch 0397]  0.3474 				(dt = 0.104 sec)
[training epoch 0398]  0.5020 				(dt = 0.101 sec)
[training epoch 0399]  0.4832 				(dt = 0.097 sec)
[training epoch 0400]  0.3241 				(dt = 0.110 sec)
[val/test epoch 0400]  0.9588  0.8239
[training epoch 0401]  0.4670 				(dt = 0.175 sec)
[training epoch 0402]  0.5748 				(dt = 0.111 sec)
[training epoch 0403]  0.4795 				(dt = 0.099 sec)
[training epoch 0404]  0.5049 				(dt = 0.118 sec)
[training epoch 0405]  0.5226 				(dt = 0.119 sec)
[training epoch 0406]  0.4543 				(dt = 0.101 sec)
[training epoch 0407]  0.5974 				(dt = 0.113 sec)
[training epoch 0408]  0.3885 				(dt = 0.116 sec)
[training epoch 0409]  0.4146 				(dt = 0.109 sec)
[training epoch 0410]  0.4308 				(dt = 0.108 sec)
[training epoch 0411]  0.3766 				(dt = 0.115 sec)
[training epoch 0412]  0.4505 				(dt = 0.107 sec)
[training epoch 0413]  0.4637 				(dt = 0.110 sec)
[training epoch 0414]  0.5082 				(dt = 0.105 sec)
[training epoch 0415]  0.5861 				(dt = 0.098 sec)
[training epoch 0416]  0.4043 				(dt = 0.101 sec)
[training epoch 0417]  0.4137 				(dt = 0.116 sec)
[training epoch 0418]  0.4541 				(dt = 0.109 sec)
[training epoch 0419]  0.4335 				(dt = 0.109 sec)
[training epoch 0420]  0.4638 				(dt = 0.110 sec)
[training epoch 0421]  0.4141 				(dt = 0.105 sec)
[training epoch 0422]  0.5669 				(dt = 0.105 sec)
[training epoch 0423]  0.4887 				(dt = 0.101 sec)
[training epoch 0424]  0.3519 				(dt = 0.103 sec)
[training epoch 0425]  0.4508 				(dt = 0.109 sec)
[training epoch 0426]  0.3857 				(dt = 0.109 sec)
[training epoch 0427]  0.6166 				(dt = 0.104 sec)
[training epoch 0428]  0.3455 				(dt = 0.127 sec)
[training epoch 0429]  0.4212 				(dt = 0.109 sec)
[training epoch 0430]  0.5325 				(dt = 0.105 sec)
